systematic_name	goid
YBL007C	GO:0005856
YBL007C	GO:0005634
YBL007C	GO:0030427
YBL007C	GO:0030674
YBL007C	GO:0032182
YBL007C	GO:0071554
YBL007C	GO:0007010
YBL007C	GO:0006897
YBL007C	GO:0070271
YBL008W	GO:0000417
YBL008W	GO:0005694
YBL008W	GO:0000775
YBL008W	GO:0005634
YBL008W	GO:0003677
YBL008W	GO:0003682
YBL008W	GO:0000988
YBL008W	GO:0006354
YBL008W	GO:0006325
YBL008W	GO:0070271
YBL008W	GO:0006366
YBL009W	GO:0005575
YBL009W	GO:0016301
YBL009W	GO:0016740
YBL009W	GO:0051321
YBL009W	GO:0000278
YBL009W	GO:0048285
YBL009W	GO:0006468
YBL011W	GO:0005737
YBL011W	GO:0012505
YBL011W	GO:0005783
YBL011W	GO:0016020
YBL011W	GO:0016740
YBL011W	GO:0006629
YBL013W	GO:0005737
YBL013W	GO:0005739
YBL013W	GO:0016740
YBL013W	GO:0009451
YBL013W	GO:0008033
YBL015W	GO:0005737
YBL015W	GO:0005739
YBL015W	GO:0016787
YBL015W	GO:0016740
YBL015W	GO:0032787
YBL016W	GO:0005737
YBL016W	GO:0005739
YBL016W	GO:0005634
YBL016W	GO:0030427
YBL016W	GO:0016301
YBL016W	GO:0004871
YBL016W	GO:0016740
YBL016W	GO:0000746
YBL016W	GO:0001403
YBL016W	GO:0051169
YBL016W	GO:0006468
YBL016W	GO:0051726
YBL016W	GO:0051049
YBL016W	GO:0042221
YBL016W	GO:0023052
YBL016W	GO:0032196
YBL017C	GO:0005794
YBL017C	GO:0005737
YBL017C	GO:0012505
YBL017C	GO:0016020
YBL017C	GO:0006605
YBL018C	GO:0005737
YBL018C	GO:0005655
YBL018C	GO:0005730
YBL018C	GO:0005634
YBL018C	GO:0000172
YBL018C	GO:0030529
YBL018C	GO:0005732
YBL018C	GO:0016787
YBL018C	GO:0004518
YBL018C	GO:0006397
YBL018C	GO:0043144
YBL018C	GO:0008033
YBL019W	GO:0005634
YBL019W	GO:0016787
YBL019W	GO:0016829
YBL019W	GO:0004518
YBL019W	GO:0006281
YBL019W	GO:0006974
YBL020W	GO:0005737
YBL020W	GO:0012505
YBL020W	GO:0005783
YBL020W	GO:0016020
YBL020W	GO:0003674
YBL020W	GO:0006869
YBL021C	GO:0016602
YBL021C	GO:0005634
YBL021C	GO:0005667
YBL021C	GO:0003677
YBL021C	GO:0001071
YBL021C	GO:0045333
YBL021C	GO:0006091
YBL021C	GO:0042221
YBL021C	GO:0006366
YBL022C	GO:0005737
YBL022C	GO:0005739
YBL022C	GO:0016887
YBL022C	GO:0016787
YBL022C	GO:0008233
YBL022C	GO:0070271
YBL022C	GO:0051603
YBL023C	GO:0031261
YBL023C	GO:0042555
YBL023C	GO:0005694
YBL023C	GO:0005737
YBL023C	GO:0005656
YBL023C	GO:0005634
YBL023C	GO:0031298
YBL023C	GO:0016887
YBL023C	GO:0003677
YBL023C	GO:0003682
YBL023C	GO:0004386
YBL023C	GO:0016787
YBL023C	GO:0006310
YBL023C	GO:0006281
YBL023C	GO:0006260
YBL023C	GO:0006974
YBL023C	GO:0055086
YBL023C	GO:0051052
YBL024W	GO:0005634
YBL024W	GO:0003723
YBL024W	GO:0008168
YBL024W	GO:0016740
YBL024W	GO:0009451
YBL024W	GO:0042221
YBL024W	GO:0006979
YBL024W	GO:0008033
YBL025W	GO:0000120
YBL025W	GO:0000500
YBL025W	GO:0005730
YBL025W	GO:0005634
YBL025W	GO:0005667
YBL025W	GO:0003677
YBL025W	GO:0001071
YBL025W	GO:0006360
YBL026W	GO:0046540
YBL026W	GO:0005688
YBL026W	GO:0005737
YBL026W	GO:0000932
YBL026W	GO:0005730
YBL026W	GO:0005634
YBL026W	GO:0030529
YBL026W	GO:0030532
YBL026W	GO:0005732
YBL026W	GO:0003723
YBL026W	GO:0008380
YBL026W	GO:0006397
YBL027W	GO:0005737
YBL027W	GO:0022625
YBL027W	GO:0022626
YBL027W	GO:0015934
YBL027W	GO:0030684
YBL027W	GO:0030687
YBL027W	GO:0030529
YBL027W	GO:0005840
YBL027W	GO:0003735
YBL027W	GO:0005198
YBL027W	GO:0002181
YBL028C	GO:0005737
YBL028C	GO:0005730
YBL028C	GO:0005634
YBL028C	GO:0030684
YBL028C	GO:0030687
YBL028C	GO:0030529
YBL028C	GO:0005840
YBL028C	GO:0003674
YBL028C	GO:0008150
YBL030C	GO:0005737
YBL030C	GO:0016020
YBL030C	GO:0005740
YBL030C	GO:0005739
YBL030C	GO:0022857
YBL030C	GO:0045333
YBL030C	GO:0006091
YBL030C	GO:0006811
YBL030C	GO:0015931
YBL030C	GO:0055085
YBL031W	GO:0000235
YBL031W	GO:0005933
YBL031W	GO:0005737
YBL031W	GO:0005881
YBL031W	GO:0005856
YBL031W	GO:0005874
YBL031W	GO:0005880
YBL031W	GO:0005634
YBL031W	GO:0030427
YBL031W	GO:0005819
YBL031W	GO:0005876
YBL031W	GO:0008092
YBL031W	GO:0007010
YBL031W	GO:0000278
YBL032W	GO:0005694
YBL032W	GO:0005737
YBL032W	GO:0000932
YBL032W	GO:0005634
YBL032W	GO:0030529
YBL032W	GO:0003723
YBL032W	GO:0003729
YBL032W	GO:0006260
YBL032W	GO:0032200
YBL033C	GO:0005737
YBL033C	GO:0005634
YBL033C	GO:0016787
YBL033C	GO:0006766
YBL034C	GO:0005856
YBL034C	GO:0005815
YBL034C	GO:0005819
YBL034C	GO:0000922
YBL034C	GO:0005816
YBL034C	GO:0005198
YBL034C	GO:0007010
YBL035C	GO:0005658
YBL035C	GO:0005694
YBL035C	GO:0012505
YBL035C	GO:0005634
YBL035C	GO:0016779
YBL035C	GO:0016740
YBL035C	GO:0006260
YBL035C	GO:0032200
YBL036C	GO:0005575
YBL036C	GO:0043167
YBL036C	GO:0008150
YBL037W	GO:0030122
YBL037W	GO:0005933
YBL037W	GO:0030125
YBL037W	GO:0005737
YBL037W	GO:0016023
YBL037W	GO:0012505
YBL037W	GO:0016020
YBL037W	GO:0005886
YBL037W	GO:0030427
YBL037W	GO:0030120
YBL037W	GO:0003674
YBL038W	GO:0005737
YBL038W	GO:0015934
YBL038W	GO:0005762
YBL038W	GO:0005761
YBL038W	GO:0005739
YBL038W	GO:0030529
YBL038W	GO:0005840
YBL038W	GO:0003735
YBL038W	GO:0005198
YBL038W	GO:0032543
YBL038W	GO:0007005
YBL038W	GO:0051604
YBL039C	GO:0005737
YBL039C	GO:0016874
YBL039C	GO:0006629
YBL039C	GO:0055086
YBL040C	GO:0005737
YBL040C	GO:0012505
YBL040C	GO:0005783
YBL040C	GO:0016020
YBL040C	GO:0048193
YBL041W	GO:0005737
YBL041W	GO:0012505
YBL041W	GO:0005783
YBL041W	GO:0016020
YBL041W	GO:0005634
YBL041W	GO:0000502
YBL041W	GO:0005839
YBL041W	GO:0019774
YBL041W	GO:0034515
YBL041W	GO:0003674
YBL041W	GO:0051603
YBL042C	GO:0016020
YBL042C	GO:0005886
YBL042C	GO:0022857
YBL042C	GO:0015931
YBL042C	GO:0055085
YBL043W	GO:0005575
YBL043W	GO:0003674
YBL043W	GO:0008150
YBL045C	GO:0005737
YBL045C	GO:0016020
YBL045C	GO:0005740
YBL045C	GO:0005750
YBL045C	GO:0005739
YBL045C	GO:0016491
YBL045C	GO:0022857
YBL045C	GO:0045333
YBL045C	GO:0006091
YBL046W	GO:0005737
YBL046W	GO:0005634
YBL046W	GO:0030289
YBL046W	GO:0030234
YBL046W	GO:0006974
YBL046W	GO:0006470
YBL046W	GO:0051726
YBL047C	GO:0005938
YBL047C	GO:0005933
YBL047C	GO:0005737
YBL047C	GO:0005856
YBL047C	GO:0030427
YBL047C	GO:0032182
YBL047C	GO:0006897
YBL047C	GO:0042221
YBL047C	GO:0023052
YBL049W	GO:0005575
YBL049W	GO:0003674
YBL049W	GO:0008150
YBL050W	GO:0031201
